"","id_deputado","receita_total_eleicoes","tipo_receita","nome_parlamentar","uf","partido_atual","profissao","total_bens","tipo_bem","total_despesas_eleicoes","id_municipio","votos","anos","mandatos","causa_fimdescr"
"392",74124,896276.09,"RECURSOS PRÓPRIOS","Marçal Filho","MS","PMDB",0,3421248.03,11,896276.09,500390,1,,1,""
"393",74125,,,"Jose Lourenço","BA","PPR",436,,,,,,,,
"394",74127,,,"Djalma De Almeida Cesar","",,436,,,,,,,,
"395",74129,,,"Moises Bennesby","RO","PSDB",436,,,,,,,,
"396",74132,,,"Wagner Do Nascimento","MG","PPB",436,,,,,,,,
"397",74133,825444.71,"DESCRIÇÃO DAS DOAÇÕES RELATIVAS À COMERCIALIZAÇÃO","Luiz Alberto","BA","PT",65,901621.1,11,825205.99,290170,2,,1,""
"398",74134,,,"Lamartine Posella","SP","PMDB",436,,,,,,,,
"399",74136,,,"Antonio Valdeci Oliveira De Oliveira","RS","PT",436,,,,,,,,
"400",74137,,,"Luiz Eduardo Greenhalgh","SP","PT",436,,,,,,,,
"401",74138,,,"Etevalda Grassi De Menezes","ES","PTB",436,,,,,,,,
"402",74139,,,"Guilherme Menezes","BA","PT",196,,,,,,1.91649555099247,1,"Renúncia"
"403",74140,888659.1,"RECURSOS DE PESSOAS JURÍDICAS","José Carlos Araújo","BA","PSD",301,1696277.98,13,888428.71,290330,1,,1,""
"404",74141,517419.71,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","Josias Gomes","BA","PT",163,466061.69,59,517201.28,290170,10,,1,""
"405",74142,1152496.71,"RECURSOS DE PESSOAS JURÍDICAS","Luiz Carreira","BA","DEM",44,2102935.5,11,1152375.02,290330,1,3.66050650239562,2,"Licença Conjunta Consecutiva"
"406",74143,177034.78,"RECURSOS DE PESSOAS JURÍDICAS","Marcelo Guimarães Filho","BA","PMDB",199,1650831.96,11,177025.63,290330,11,0.331279945242984,1,"Afastamento"
"407",74144,,,"Zelinda Novaes","BA","PFL",436,,,,,,,,
"408",74145,636166.16,"RECURSOS DE PESSOAS FÍSICAS","Zezéu Ribeiro","BA","PT",117,731094.52,11,636166.16,290170,11,,2,"Secretário de Estado"
"409",74146,,,"Anderson Adauto","MG","PL",436,,,,,,,,
"410",74147,,,"Athos Avelino","MG","PPS",436,,,,,,,,
"411",74148,729125,"RECURSOS PRÓPRIOS","Carlos Willian","MG","PTC",199,3696855,11,729107.02,3100203,15,3.99726214921287,1,"Término da Legislatura"
"412",74149,,,"César Medeiros","MG","PT",436,,,,,,,,
"413",74150,,,"Dr. Francisco Gonçalves","MG","PTB",436,,,,,,,,
"414",74151,891108.36,"RECURSOS DE PESSOAS FÍSICAS","Geraldo Thadeu","MG","PSD",251,2416250.99,11,890941.91,3100104,1,,1,""
"415",74152,142123.12,"RECURSOS DE PESSOAS JURÍDICAS","Isaias Silvestre","MG","PSB",0,590683,12,141662.11,3100203,4,,1,""
"416",74153,,,"Ivo José","MG","PT",436,,,,,,,,
"417",74154,,,"João Paulo Gomes Da Silva","MG","PL",436,,,,,,,,
"418",74155,,,"Leonardo Mattos","MG","PV",436,,,,,,,,
"419",74156,1384115.58,"RECURSOS DE PESSOAS FÍSICAS","Leonardo Monteiro","MG","PT",199,441250.24,12,1384115.58,3100203,1,,1,""
"420",74157,,,"Marcello Siqueira","MG","PMDB",436,,,,,,,,
"421",74158,1006165.87,"RECURSOS DE PESSOAS FÍSICAS","Mário Heringer","MG","PDT",196,6822565.47,11,1020974.72,3100104,11,,2,"Afastamento"
"422",74159,2580205.87,"RECURSOS DE PESSOAS JURÍDICAS","Odair Cunha","MG","PT",199,638892,21,2580072.75,3100104,2,,1,""
"423",74160,,,"Patrus Ananias","MG","PT",436,,,,,,,,
"424",74161,2028939.79,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","Reginaldo Lopes","MG","PT",45,761276.75,12,2017491.48,3100104,1,,1,""
"425",74162,1832354.52,"RECURSOS PRÓPRIOS","Iriny Lopes","ES","PT",245,526161.19,13,1830719.15,3200102,128,,2,"Ministro de Estado"
"426",74163,523825.38,"RECURSOS DE PESSOAS FÍSICAS","Manato","ES","SDD",196,2843678.49,11,523738.12,3200102,358,,1,""
"427",74164,,,"Marcelino Fraga","ES","PMDB",436,,,,,,,,
"428",74165,,,"Neucimar Fraga","ES","PR",16,,,,,,1.91375770020534,1,"Renúncia"
"429",74166,,,"Renato Casagrande","ES","PSB",436,,,,,,,,
"430",74167,,,"Almir Moura","RJ","PL",436,,,,,,,,
"431",74168,,,"André Luiz","RJ","PMDB",436,,,,,,,,
"432",74169,1390000,"RECURSOS DE PESSOAS JURÍDICAS","Bernardo Ariston","RJ","PMDB",233,1997141.27,11,1390000,3300100,1,3.99726214921287,1,"Término da Legislatura"
"433",74170,,,"João Mendes De Jesus","RJ","PDT",436,,,,,,,,
"434",74171,180986.29,"RECURSOS DE PESSOAS FÍSICAS","Chico Alencar","RJ","PSOL",397,667081,12,180877.08,3300100,216,,1,""
"435",74172,2322110.97,"RECURSOS DE PESSOAS JURÍDICAS","Deley","RJ","PTB",235,1623011.37,11,2321835.74,3300100,216,,4,"Afastamento"
"436",74173,4767775.79,"RECURSOS DE PESSOAS JURÍDICAS","Eduardo Cunha","RJ","PMDB",45,2069730,15,4767775.79,3300100,199,,1,""
"437",74174,,,"Elaine Costa","RJ","PTB",436,,,,,,,,
"438",74175,,,"José Divino","RJ","PMDB",436,,,,,,,,
"439",74176,,,"Josias Quintal","RJ","PSB",436,,,,,,,,
"440",74177,874125.04,"RECURSOS PRÓPRIOS","Marinha Raupp","RO","PMDB",261,2870108.88,11,873858.43,1100015,3905,,1,""
"441",74181,,,"Chicão Brígido","AC","PMDB",436,,,,,,,,
"442",74184,,,"Ronivon Santiago","AC","PFL",436,,,,,,,,
"443",74185,,,"Zila Bezerra","",,436,,,,,,,,
"444",74186,78231.06,"RECURSOS PRÓPRIOS","Antonio Jorge Godinho","TO","PFL",436,1948602.94,19,78231.06,1700251,2,,,
"445",74187,262452.75,"RECURSOS PRÓPRIOS","Darci Coelho","TO","PFL",436,502286.15,12,262452.75,1700251,64,,,
"446",74188,,,"Dolores Nunes","","PP",436,,,,,,,,
"447",74189,,,"Freire Júnior","TO","PSDB",0,,,,,,0.670773442847365,2,"Afastamento"
"448",74190,,,"João Ribeiro","TO","PFL",436,,,,,,,,
"449",74191,788290.45,"RECURSOS DE PESSOAS JURÍDICAS","Osvaldo Reis","TO","PMDB",399,26522548.03,11,788290.45,1700301,3,,1,""
"450",74192,,,"Paulo Sardinha Mourão","TO","PSDB",436,,,,,,,,
"451",74193,,,"Udson Bandeira","",,436,,,,,,,,
"452",74194,,,"Antonio Joaquim","MA","PP",436,,,,,,,,
"453",74195,,,"Carlos César Branco Bandeira","MA","PFL",436,,,,,,,,
"454",74196,,,"Davi Alves Silva","","PFL",436,,,,,,,,
"455",74197,129645.69,"RECURSOS DE PESSOAS FÍSICAS","Domingos Dutra","MA","SDD",199,366145,12,129135.69,2100055,117,,1,""
"456",74198,,,"Eliseu Moura","MA","PPB",436,,,,,,,,
"457",74199,,,"Francisco Coelho","MA","PFL",436,,,,,,,,
"458",74200,953000,"RECURSOS PRÓPRIOS","Gastão Vieira","MA","PMDB",199,792347.19,12,853000,2100055,291,0.621492128678987,1,"Ministro de Estado"
"459",74207,340641,"RECURSOS PRÓPRIOS","Pedro Novais","MA","PMDB",199,7125486.59,13,340641,2100055,118,,2,"Ministro de Estado"
"460",74208,,,"Remi Trinta","MA","PST",436,,,,,,,,
"461",74209,,,"Roberto Rocha","MA","PSDB",40,,,,,,3.99726214921287,1,"Término da Legislatura"
"462",74210,1144741,"RECURSOS DE PESSOAS JURÍDICAS","Sarney Filho","MA","PV",199,5488589.92,11,1144741,2100055,452,,1,""
"463",74211,,,"Sebastião Madeira","MA","PSDB",196,,,,,,1.91649555099247,1,"Renúncia"
"464",74212,970000,"RECURSOS DE PESSOAS JURÍDICAS","Aníbal Gomes","CE","PMDB",41,8364599.36,11,969957.27,2300101,5,,1,""
"465",74213,1307281.25,"RECURSOS DE PESSOAS JURÍDICAS","Antonio Balhmann","CE","PROS",363,1054430.53,11,1307271.26,2300101,384,,1,""
"466",74215,,,"Dercio Knop","",,436,,,,,,,,
"467",74216,616670,"RECURSOS DE PESSOAS JURÍDICAS","Raimundo Gomes De Matos","CE","PSDB",196,1075819.57,11,616666.35,2300101,71,,1,""
"468",74217,,,"Arlindo Vargas","","PTB",436,,,,,,,,
"469",74218,,,"Walter Pinheiro","BA","PT",355,,,,,,2.95140314852841,2,"Secretário de Estado"
"470",74221,,,"Ronaldo Santos","RJ","PSDB",436,,,,,,,,
"471",74222,436410,"RECURSOS DE PESSOAS FÍSICAS","Asdrubal Bentes","PA","PMDB",250,740582.4,12,436410,1500107,12,,2,"Secretário de Estado"
"472",74225,,,"José Guimarães Neiva Moreira","MA","PDT",436,,,,,,,,
"473",74226,,,"Geraldo Pastana","","PT",436,,,,,,,,
"474",74230,544501.4,"RECURSOS PRÓPRIOS","Colbert Martins","BA","PMDB",196,,,544501.4,290170,2,,1,""
"475",74233,689454.21,"RECURSOS DE PESSOAS FÍSICAS","Vanio Dos Santos","",,436,2237559,11,689454.21,4200051,3,,,
"476",74235,1648239.38,"RECURSOS DE PESSOAS JURÍDICAS","Marcus Antonio Vicente","ES","PSDB",436,1301590.32,11,1648239.38,3200102,327,,,
"477",74237,,,"Raimundo Colombo","SC","PFL",436,,,,,,,,
"478",74238,1796473.84,"RECURSOS DE PESSOAS FÍSICAS","Moacir Micheletto","PR","PMDB",30,2946589.84,11,1796473.84,4100103,3,0.993839835728953,1,"Falecimento"
"479",74240,,,"João Tota","AC","PPB",436,,,,,,,,
"480",74243,,,"Nelson Harter","RS","PMDB",436,,,,,,,,
"481",74245,,,"Marcos Vinicius De Campos","SP","PFL",436,,,,,,,,
"482",74248,,,"Ana Catarina Lyra Alves","RN","PMDB",436,,,,,,,,
"483",74252,,,"Juíza Denise Frossard","RJ","PSDB",436,,,,,,,,
"484",74253,3732643,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","Julio Lopes","RJ","PP",295,2671097.4,19,3730395.71,3300100,128,0.0766598220396988,1,"Secretário de Estado"
"485",74254,1918958.15,"RECURSOS DE OUTROS CANDIDATOS/COMITÊS","Leonardo Picciani","RJ","PMDB",404,2247651.2,11,1911679.48,3300100,53,,2,"Secretário de Estado"
"486",74255,,,"Maria Lucia","RJ","PMDB",436,,,,,,,,
"487",74256,,,"Reinaldo Betão","RJ","PL",436,,,,,,,,
"488",74257,,,"Renato Cozzolino","RJ","PDT",368,2367005.69,12,,,,0.0657084188911704,1,"Término da Legislatura"
"489",74258,,,"Sandro Matos","RJ","PR",399,,,,,,1.58247775496235,2,"Licença Conjunta Consecutiva"
"490",74259,,,"Vieira Reis","RJ","PMR",436,,,,,,,,
"491",74260,,,"Amauri Robledo Gasques","SP","PRONA",436,,,,,,,,
"492",74261,,,"Bispo João Batista","SP","PFL",436,,,,,,,,
"493",74262,1415388.92,"RECURSOS PRÓPRIOS","Carlos Sampaio","SP","PSDB",243,1277601.03,3,1414827.06,3500105,4,,1,""
"494",74263,,,"Cláudio Magrão","SP","PPS",1,,,,,,2.06981519507187,1,"Afastamento"
"495",74264,1949175.26,"RECURSOS DE PESSOAS FÍSICAS","Devanir Ribeiro","SP","PT",328,2159253.95,11,1949175.26,3500105,408,,1,""
"496",74265,1157173.58,"RECURSOS DE PESSOAS JURÍDICAS","Dimas Ramalho","SP","PPS",392,2015018.84,1,1156587.78,3500105,9,1.53045859000684,1,"Renúncia"
"497",74266,183508.09,"RECURSOS DE PESSOAS FÍSICAS","Durval Orlato","SP","PT",436,1168458,12,183501.52,3500204,1,,,
"498",74267,,,"Edna Macedo","SP","PTB",436,,,,,,,,
"499",74268,,,"Elimar Máximo Damasceno","SP","PRONA",436,,,,,,,,
