id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
73481,Fernando Stephan Marroni,M,RS,PT,0,26,Superior completo,PT,E,1956-07-31,,1999,,1591091.370000007,25393.63,1562679.4900000081
73482,Henrique Fontana Júnior,M,RS,PT,376,26,Superior completo,PT,E,1960-01-18,,1999,,1526145.670000009,26988.670000000027,1437988.3900000027
73483,Luis Carlos Heinze,M,RS,PP,165,26,Superior completo,PP,E,1950-09-14,,1999,,1537241.1799999992,10673.830000000002,1524499.7199999983
73484,Marcos Flávio Rolim,,RS,PT,436,,,,,,,1999,,0,0,0
73485,Paulo José Gouvêa,,RS,PL,436,,,,,,,1999,,0,0,0
73486,Darci Pompeo De Mattos,M,RS,PDT,144,,,,E,1958-07-12,,1999,,548042.259999999,3553.400000000001,544488.8599999992
73487,Roberto Argenta,,RS,PHS,436,427,Superior incompleto,PDT,,1974-03-11,,1999,,0,0,0
73488,Synval Sebastião Duarte Guazzelli,,RS,PMDB,436,,,,,,,1999,,0,0,0
73489,Waldir Schmidt,,RS,PMDB,436,199,Superior completo,PRB,,1972-08-03,,1999,,0,0,0
73490,Ricarte De Freitas Junior,M,MT,PTB,199,,,,S,1952-01-17,,1999,,72885.87999999999,179.7,72706.18000000001
73491,Pedro Bittencourt,,,,436,,,,,,,1999,,0,0,0
73492,Antonio Carlos Silva Biscaia,M,RJ,PT,4,199,Ensino médio completo,PT,E,1942-06-03,,1999,,126909.93000000012,187.17,126722.76000000014
73507,Rosilda De Freitas,F,ES,PMDB,42,26,Superior incompleto,PMDB,E,1949-01-23,,1991,,1277008.3100000056,32109.06000000002,1243581.8800000064
73531,Ivan Valente,M,SP,PSOL,384,26,Superior completo,PSOL,E,1946-07-05,,1995,,1217671.9700000037,13351.830000000005,1204320.1400000039
73532,Jair Antonio Meneguelli,,SP,PT,436,,,,,,,1995,,0,0,0
73533,Joao Mellao Neto,,,,436,,,,,,,1991,,0,0,0
73534,João Paulo Cunha,M,SP,PT,263,26,Superior incompleto,PT,E,1958-06-06,,2003,,1296764.2699999956,2786.680000000002,1293977.5899999947
73535,Jorge Tadeu Mudalen,M,SP,DEM,201,398,Superior completo,DEM,E,1955-01-03,,1991,,898811.3200000236,4723.800000000001,894070.0800000235
73536,José Aníbal Peres De Pontes,M,SP,PSDB,142,26,Superior completo,PSDB,L,1947-08-09,,1991,,494463.0300000007,2146.0,492317.03000000084
73538,Jose Coimbra,,SP,PTB,436,,,,,,,1995,,0,0,0
73539,José Masci De Abreu,,SP,PSDB,436,160,Ensino médio incompleto,PTB,,1959-12-18,,1995,,0,0,0
73540,José Genoíno Neto,M,SP,PT,81,26,Superior incompleto,PT,L,1946-05-03,,1991,,413117.91000000056,3400.9299999999985,408916.9800000004
73541,Jose Machado,,SP,PT,436,,,,,,,1995,,0,0,0
73542,José Aristodemo Pinotti,M,SP,DEM,196,,,,V,1934-12-20,2009-07-01,2003,2007-04-23,0,0,0
73544,Koyu Iha,,,,436,,,,,,,1991,,0,0,0
73545,Luciano Zica,,SP,PT,436,,,,,,,1995,,0,0,0
73546,Luiz Carlos Santos,,SP,PFL,436,,,,,,,1991,,0,0,0
73547,Maluly Netto,,,,436,,,,,,,1991,,0,0,0
73548,Marcelo Fortes Barbieri,,SP,PMDB,436,,,,,,,1991,,0,0,0
73552,Michel Miguel Elias Temer Lulia,M,SP,PMDB,290,,,,V,1940-09-23,,1991,,290027.3299999994,3245.8500000000004,286781.47999999946
73553,Nelson Marquezelli,M,SP,PTB,399,26,Superior completo,PTB,E,1941-10-29,,1991,,1282695.7500000128,4379.24,1278316.5100000128
73554,Paulo César Marques De Velasco,,SP,PRONA,436,,,,,,,1995,,0,0,0
73555,Paulo César De Oliveira Lima,M,SP,PMDB,359,228,Superior completo,PMDB,E,1963-02-09,,1991,,43548.31000000004,3428.6699999999996,40119.64000000001
73556,Regis Fernandes De Oliveira,M,SP,PSC,210,26,Superior completo,PSC,E,1944-09-19,,1995,,508805.9700000005,2123.7000000000003,506682.27000000054
73557,Ricardo Nagib Izar,M,SP,PTB,199,,,,V,1938-07-28,2008-05-02,1991,,838858.1799999981,8348.45,800651.7799999985
73558,Robson Tuma,M,SP,DEM,206,199,Superior completo,PTB,E,1968-09-05,,1991,,21791.380000000005,2098.67,19692.710000000003
73559,Salvador Zimbaldi Filho,M,SP,PROS,170,228,Ensino médio completo,PDT,E,1955-06-05,,1995,2013-10-02,847177.7300000013,14089.01,831958.7800000012
73560,Silvio França Torres,M,SP,PSDB,232,26,Superior completo,PSDB,L,1946-06-01,,1995,,295277.1599999999,2678.1,292599.0599999999
73561,Telma Sandra Augusto De Souza,F,SP,PT,307,,,,E,1944-09-29,,1995,,28667.769999999986,272.27000000000004,28395.499999999985
73563,Ushitaro Kamia,,SP,PSB,436,,,,,,,1995,,0,0,0
73564,Etivaldo Vadão Gomes,M,SP,PP,75,228,Ensino fundamental completo,PP,E,1957-04-19,,1991,,221034.83999999994,2273.12,218761.71999999988
73565,Valdemar Costa Neto,M,SP,PR,40,44,Superior completo,PR,E,1949-08-11,,1991,,967866.419999999,75.22,967791.1999999989
73566,Vicente Cascione,,SP,PTB,436,,,,,,,1995,,0,0,0
73567,Wagner Rossi,,SP,PMDB,436,,,,,,,1991,,0,0,0
73568,Celso Alencar Ramos Jacob,M,RJ,PMDB,0,45,Superior completo,PMDB,E,1957-01-19,,1999,,157170.05000000013,797.6800000000002,156372.37000000017
